device_id,seq,timestamp_us,voutp_raw,voutn_raw,iout_raw,iref_raw,v_diff,i_diff,v_volts,i_amps
534F4C31,17992,152549270,346,262,3007,3014,84,-7,84.00000,-0.01805
534F4C31,17992,152554506,340,241,3004,3029,99,-25,99.00000,-0.06447
534F4C31,17992,152559480,325,234,3013,3002,91,11,91.00000,0.02837
534F4C31,17992,152564137,335,240,3008,3008,95,0,95.00000,0.00000
534F4C31,17993,152569153,331,238,2997,3021,93,-24,93.00000,-0.06189
534F4C31,17994,152574178,320,219,3001,3049,101,-48,101.00000,-0.12378
534F4C31,17995,152579142,341,222,3006,3017,119,-11,119.00000,-0.02837
534F4C31,17996,152584172,353,212,3011,3004,141,7,141.00000,0.01805
534F4C31,17996,152589134,334,214,3009,3012,120,-3,120.00000,-0.00774
534F4C31,17997,152594589,367,263,3011,3010,104,1,104.00000,0.00258
534F4C31,17998,152599161,295,258,3001,3002,37,-1,37.00000,-0.00258
534F4C31,17998,152604361,246,191,3005,3017,55,-12,55.00000,-0.03095
534F4C31,17999,152609147,288,217,3006,3011,71,-5,71.00000,-0.01289
534F4C31,17999,152615508,367,244,3002,3013,123,-11,123.00000,-0.02837
534F4C31,18000,152619246,311,214,3007,3007,97,0,97.00000,0.00000
534F4C31,18000,152624224,294,206,3006,3019,88,-13,88.00000,-0.03352
534F4C31,18000,152629147,318,212,3014,3013,106,1,106.00000,0.00258
534F4C31,18001,152635092,340,280,3007,3010,60,-3,60.00000,-0.00774
534F4C31,18002,152639552,250,183,3002,3014,67,-12,67.00000,-0.03095
534F4C31,18003,152644130,291,195,3009,3015,96,-6,96.00000,-0.01547
534F4C31,18004,152649562,346,236,3014,3005,110,9,110.00000,0.02321
534F4C31,18004,152654139,296,232,2996,3000,64,-4,64.00000,-0.01032
534F4C31,18005,152660167,317,236,3007,3014,81,-7,81.00000,-0.01805
534F4C31,18005,152664130,310,225,3010,3015,85,-5,85.00000,-0.01289
534F4C31,18006,152669149,316,215,3005,3004,101,1,101.00000,0.00258
534F4C31,18007,152674666,301,244,3006,3012,57,-6,57.00000,-0.01547
534F4C31,18008,152679202,278,236,3011,3003,42,8,42.00000,0.02063
534F4C31,18009,152684141,288,223,3001,3014,65,-13,65.00000,-0.03352
534F4C31,18010,152689141,291,226,3010,3016,65,-6,65.00000,-0.01547
534F4C31,18010,152694138,300,225,3008,3015,75,-7,75.00000,-0.01805
534F4C31,18011,152699376,341,265,3006,3016,76,-10,76.00000,-0.02579
534F4C31,18012,152704145,307,235,3002,3048,72,-46,72.00000,-0.11862
